target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
sps:logsfr_ratios_2,logsfr_ratios_2,h2,0.7142857142857143,0.625,0.9694398810490938,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,z_head_hidden,0.8571428571428571,0.75,0.9191420054325705,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,z_out,1.0,,0.16434465134871457,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,mu_15,1.0,0.75,0.9803203749644107,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,log_spec,,0.875,0.9966243307361908,,50000,17278
sps:logsfr_ratios_2,logsfr_ratios_2,m_ab_recon,,1.0,0.6231014338953456,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,x,0.0,0.0,0.22562716848396958,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h0,0.14285714285714285,0.125,0.3769439293827841,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h1_mid,0.2857142857142857,0.25,0.624817869438872,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h1,0.42857142857142855,0.375,0.6817215894287543,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h2_mid,0.5714285714285714,0.5,0.8264854257573424,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,h2,0.7142857142857143,0.625,0.9628731100413205,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,z_head_hidden,0.8571428571428571,0.75,0.6231849019459472,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,z_out,1.0,,0.18601936102135375,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,mu_15,1.0,0.75,0.9966415571285644,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,log_spec,,0.875,0.9685147207277948,,50000,17278
sps:logsfr_ratios_3,logsfr_ratios_3,m_ab_recon,,1.0,0.47165412216690095,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,x,0.0,0.0,0.24162537460546596,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h0,0.14285714285714285,0.125,0.34098400268811735,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h1_mid,0.2857142857142857,0.25,0.7186614952966697,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h1,0.42857142857142855,0.375,0.7750873946103366,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h2_mid,0.5714285714285714,0.5,0.8026660246241114,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,h2,0.7142857142857143,0.625,0.958451115761066,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,z_head_hidden,0.8571428571428571,0.75,0.8297165727566329,,50000,17278
sps:logsfr_ratios_4,logsfr_ratios_4,z_out,1.0,,0.5085837273895679,,50000,17278
