target,label,layer,depth_heads,depth_decoder,r2,sigma_nmad,n_train,n_test
sps:fagn,fagn,h0,0.14285714285714285,0.125,0.6577212126723354,,50000,17278
sps:fagn,fagn,h1_mid,0.2857142857142857,0.25,0.8591494147775876,,50000,17278
sps:fagn,fagn,h1,0.42857142857142855,0.375,0.9140127148123418,,50000,17278
sps:fagn,fagn,h2_mid,0.5714285714285714,0.5,0.9396412096567545,,50000,17278
sps:fagn,fagn,h2,0.7142857142857143,0.625,0.9908298923784511,,50000,17278
sps:fagn,fagn,z_head_hidden,0.8571428571428571,0.75,0.7093660145859915,,50000,17278
sps:fagn,fagn,z_out,1.0,,0.3411448260095733,,50000,17278
sps:fagn,fagn,mu_15,1.0,0.75,0.99497953944383,,50000,17278
sps:fagn,fagn,log_spec,,0.875,0.9767912734510523,,50000,17278
sps:fagn,fagn,m_ab_recon,,1.0,0.620860671461995,,50000,17278
sps:agn_tau,agn_tau,x,0.0,0.0,0.18267264300152353,,50000,17278
sps:agn_tau,agn_tau,h0,0.14285714285714285,0.125,0.5617468899189391,,50000,17278
sps:agn_tau,agn_tau,h1_mid,0.2857142857142857,0.25,0.8390692610671828,,50000,17278
sps:agn_tau,agn_tau,h1,0.42857142857142855,0.375,0.8673576134013842,,50000,17278
sps:agn_tau,agn_tau,h2_mid,0.5714285714285714,0.5,0.9244995523789885,,50000,17278
sps:agn_tau,agn_tau,h2,0.7142857142857143,0.625,0.978841588466601,,50000,17278
sps:agn_tau,agn_tau,z_head_hidden,0.8571428571428571,0.75,0.7921043868972997,,50000,17278
sps:agn_tau,agn_tau,z_out,1.0,,0.6237347099005512,,50000,17278
sps:agn_tau,agn_tau,mu_15,1.0,0.75,0.9559775422296671,,50000,17278
sps:agn_tau,agn_tau,log_spec,,0.875,0.9172651141788608,,50000,17278
sps:agn_tau,agn_tau,m_ab_recon,,1.0,0.40081673280576036,,50000,17278
sps:igm_scale,igm_scale,x,0.0,0.0,0.23638432581176305,,50000,17278
sps:igm_scale,igm_scale,h0,0.14285714285714285,0.125,0.5442254794660469,,50000,17278
sps:igm_scale,igm_scale,h1_mid,0.2857142857142857,0.25,0.7961310654581413,,50000,17278
sps:igm_scale,igm_scale,h1,0.42857142857142855,0.375,0.847826420268088,,50000,17278
sps:igm_scale,igm_scale,h2_mid,0.5714285714285714,0.5,0.9285979455319147,,50000,17278
sps:igm_scale,igm_scale,h2,0.7142857142857143,0.625,0.9720007209558376,,50000,17278
sps:igm_scale,igm_scale,z_head_hidden,0.8571428571428571,0.75,0.8711930099965581,,50000,17278
sps:igm_scale,igm_scale,z_out,1.0,,0.7716461838734162,,50000,17278
sps:igm_scale,igm_scale,mu_15,1.0,0.75,0.9998400294707024,,50000,17278
sps:igm_scale,igm_scale,log_spec,,0.875,0.9431606451650368,,50000,17278
sps:igm_scale,igm_scale,m_ab_recon,,1.0,0.5910520937711146,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,x,0.0,0.0,0.36381892663481363,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h0,0.14285714285714285,0.125,0.5887457177624582,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h1_mid,0.2857142857142857,0.25,0.8055508954918734,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h1,0.42857142857142855,0.375,0.8416152007732164,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h2_mid,0.5714285714285714,0.5,0.9080649021220393,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,h2,0.7142857142857143,0.625,0.9655998478046519,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,z_head_hidden,0.8571428571428571,0.75,0.7752529847825218,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,z_out,1.0,,0.7067103029015067,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,mu_15,1.0,0.75,0.9999488906448917,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,log_spec,,0.875,0.9995868088415903,,50000,17278
sps:logsfr_ratios_0,logsfr_ratios_0,m_ab_recon,,1.0,0.6259336361379306,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,x,0.0,0.0,0.48425558886185427,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,h0,0.14285714285714285,0.125,0.6445058385213049,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,h1_mid,0.2857142857142857,0.25,0.8410057721113651,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,h1,0.42857142857142855,0.375,0.8720320961866169,,50000,17278
sps:logsfr_ratios_1,logsfr_ratios_1,h2_mid,0.5714285714285714,0.5,0.9312342468734007,,50000,17278
